"symbol"	"ensembl_gene_id"	"entrez_id"
"CCDC184"	"ENSG00000177875"	387856
"CCDC185"	"ENSG00000178395"	164127
"CCDC186"	"ENSG00000165813"	55088
"CCDC190"	"ENSG00000185860"	339512
"CCDC24"	"ENSG00000159214"	149473
"CCDC27"	"ENSG00000162592"	148870
"CCDC28B"	"ENSG00000160050"	79140
"CCDC3"	"ENSG00000151468"	83643
"CCDC30"	"ENSG00000186409"	728621
"CCDC34"	"ENSG00000109881"	91057
"CCDC6"	"ENSG00000108091"	8030
"CCDC65"	"ENSG00000139537"	85478
"CCDC7"	"ENSG00000216937"	79741
"CCDC73"	"ENSG00000186714"	493860
"CCDC77"	"ENSG00000120647"	84318
"CCDC81"	"ENSG00000149201"	60494
"CCDC82"	"ENSG00000149231"	79780
"CCDC83"	"ENSG00000150676"	220047
"CCDC85B"	"ENSG00000175602"	11007
"CCDC86"	"ENSG00000110104"	79080
"CCDC87"	"ENSG00000182791"	55231
"CCDC88B"	"ENSG00000168071"	283234
"CCDC89"	"ENSG00000179071"	220388
"CCDC90B"	"ENSG00000137500"	60492
"CCDC91"	"ENSG00000123106"	55297
"CCKBR"	"ENSG00000110148"	887
"CCND1"	"ENSG00000110092"	595
"CCND2"	"ENSG00000118971"	894
"CCNJ"	"ENSG00000107443"	54619
"CCNL2"	"ENSG00000221978"	81669
"CCNT1"	"ENSG00000129315"	904
"CCNY"	"ENSG00000108100"	219771
"CCS"	"ENSG00000173992"	9973
"CCSAP"	"ENSG00000154429"	126731
"CCSER2"	"ENSG00000107771"	54462
