GeneA GeneB
158431 26281
1621 5304
55799 147807
3198 84861
200312 84437
7545 10236
9351 29106
64848 80255
8347 121340
10858 7483
84033 9755
5308 55422
54876 60509
30817 4070
286053 200312
152 387893
22927 11316
378 389941
57495 26585
126129 345462
7030 8575
84969 10168
222950 22992
2565 84687
81545 84250
148979 10489
6878 55272
7733 59269
83657 80818
5356 6874
79919 8863
9753 899
11138 10385
80725 9028
3228 4670
10573 3749
128853 84687
10052 5598
55337 3611
283298 51127
261729 128853
7477 91461
342132 22955
64090 10163
26012 9028
100127983 219875
79722 63946
80781 11132
100130733 55345
5884 400950
84687 6097
162466 196403
6872 115265
3013 23592
23538 9371
7158 57228
6861 161742
6478 148423
11244 30846
401145 81569
392309 51762
28 79083
27253 6723
23 57528
10009 644
388 22821
134218 85508
158931 254240
1406 8425
4091 2620
83590 390072
345651 5333
84249 115353
349136 5296
79979 533
115426 3229
1856 448834
1184 7574
162417 53905
140706 4692
55343 23759
389090 164633
26504 90417
3703 79180
1062 10825
147381 60484
26167 11009
348262 9028
23152 56949
26995 57644
283160 64795
780 9049
64599 338872
729627 64283
54492 6879
11180 399473
115795 80255
147011 23014
91663 84284
153642 84698
2641 80731
80218 160760
93380 81282
7461 10212
114794 51341
6499 80148
1041 10726
83638 4192
146547 115509
7477 6632
6550 63976
1069 5203
390064 10168
400745 643834
114803 7733
148170 114770
6878 8463
2909 83983
64770 2735
285636 399473
85438 54386
259285 56288
6119 440503
57091 84467
57495 79012
157869 7170
6844 100287932
6237 10298
3912 81629
2034 219484
51805 84467
9139 1406
23359 7187
7589 26273
200312 57644
85313 64766
26873 286077
79192 5140
7076 282679
60437 5284
152185 79777
89801 9372
389610 3934
54328 11180
79845 79140
3785 116154
23287 7483
1044 131377
84302 122742
30846 124857
5094 2101
79643 79717
59343 10489
2692 27341
8603 4661
554235 9755
7596 1122
7056 170850
3198 1856
340205 6098
149478 3188
100130733 137209
1607 53822
5476 64137
54552 10052
9724 220213
27067 246329
2323 11180
8912 30812
23413 8153
8840 1840
203523 2286
136227 23338
165679 389114
1268 58485
4628 84447
160 27253
10885 7477
117608 54707
9755 10163
169026 7167
7004 55611
79173 113540
84246 8907
56172 728113
85508 27042
1964 10605
402415 8339
8386 4943
2249 8722
115207 80031
83857 285025
57799 81575
801 10262
51734 203523
56850 25953
7425 8320
147646 64856
2902 2641
9755 22889
55422 84769
100170841 3973
5476 162282
51156 50846
4733 10480
50814 64090
55285 8330
55964 3845
1281 4606
23558 64793
390261 6196
154790 83657
23053 118472
2670 85477
9762 322
5189 10225
54809 6236
3276 408
7589 83541
29950 2735
10383 54855
84871 10076
1396 58158
257160 7423
869 23769
51333 3188
10474 84312
402415 283298
149478 388323
22979 2771
25794 7349
4674 256957
7592 10980
30846 147040
90187 1746
5089 30846
5600 8913
57231 399473
4796 219287
83939 64499
119692 1174
10857 55929
26548 10015
2218 6098
81551 7349
9938 64218
9753 137209
9139 51310
9738 122651
4804 118881
27185 55345
389840 5266
3228 4801
80725 3932
